Draft Year,Round,Pick,Name,Pro Bowler,Career Receptions,Career Yards,Career Touchdowns,Career Games,Proj. 5,Proj. 15,Proj. 32,Proj. 64,Proj. 98,Proj. 135,Proj. 170,Proj. 200,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Bench Press,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues,National Championship,QB Drafted,WR selected with previous pick
2017,4,118,Mack Hollins,0,26,351,1,32,0,0,0,0,0,0,0,0,1.93,221,4.53,,,,33.25,9.75,81,1667,20,1,0,0,1,0,0,1,1
2017,4,128,Josh Malone,0,7,75,1,22,0,0,0,0,0,0,1,0,1.9,208,4.4,121,30.5,10,31.375,9.625,104,1608,14,0,0,0,0,0,0,1,0
2017,4,133,Ryan Switzer,0,50,321,1,41,0,0,0,0,0,0,0,1,1.73,181,4.51,116,32,11,28,9.25,243,2903,19,1,0,0,0,0,0,1,0
2017,4,139,Jehu Chesson,0,3,25,0,24,0,0,0,0,0,0,0,1,1.91,204,4.47,132,35.5,10,33.25,9.125,114,1639,12,1,1,0,0,0,0,0,0
2017,4,141,Chad Hansen,0,9,94,0,15,0,0,0,0,0,0,1,0,1.85,202,4.53,119,35,11,32.125,10.125,111,1498,12,0,0,0,0,0,0,1,0
2017,5,166,Shelton Gibson,0,3,59,0,20,0,0,0,0,0,1,0,0,1.8,191,4.5,118,32,8,32,8.875,84,1898,17,0,0,0,0,0,0,0,0
2017,5,170,Rodney Adams,0,0,0,0,1,0,0,0,0,0,0,0,0,1.85,189,4.44,125,29.5,8,32,9,136,1976,16,1,0,0,0,0,0,0,0
2017,5,172,Isaiah McKenzie,0,49,462,1,34,0,0,0,0,0,0,0,0,1.73,173,4.42,123,36,11,28.875,8.875,60,823,7,0,1,0,0,0,0,0,0
2017,5,175,DeAngelo Yancey,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,220,4.53,121,35.5,,32.875,9.75,141,2344,20,1,0,0,0,0,0,1,0
2017,5,177,Trent Taylor,0,69,645,3,29,0,0,0,0,0,0,0,0,1.75,181,4.63,117,33,13,28.75,8.25,327,4179,32,1,0,0,0,0,0,0,0
2017,6,209,Robert Davis,0,2,17,0,7,0,0,0,0,0,0,0,0,1.91,219,4.44,136,41,19,33,9.625,222,3391,17,1,0,0,0,0,0,0,0
2017,7,219,Stacy Coley,0,0,0,0,2,0,0,0,0,0,0,0,1,1.85,195,4.45,122,34,10,32.25,9.75,166,2218,20,1,0,0,0,1,0,1,0
2017,7,226,David Moore,0,43,746,7,31,0,0,0,0,0,0,0,0,1.83,219,4.43,124,36.5,,30.625,9.5,157,2775,35,1,0,1,0,0,0,0,0
2017,7,237,Isaiah Ford,0,23,244,0,9,0,0,0,0,0,1,0,0,1.88,194,4.61,127,35.5,14,32.625,9.25,210,2967,24,0,0,0,0,0,0,0,0
2017,7,239,Noah Brown,0,9,87,0,21,0,0,0,0,0,1,0,0,1.88,222,4.56,,,19,31.75,9.125,33,411,7,0,1,0,1,0,1,0,0
2017,7,247,Malachi Dupree,0,0,0,0,1,0,0,0,0,0,1,0,0,1.88,196,4.52,135,39.5,11,31.5,9,98,1609,14,0,1,0,0,0,0,0,0
2016,1,15,Corey Coleman,0,61,789,5,27,0,0,1,0,0,0,0,0,1.8,194,4.37,129,40.5,17,30.25,9,173,3009,33,0,0,0,0,1,0,0,0
2016,1,21,Will Fuller,0,156,2231,16,42,0,0,1,0,0,0,0,0,1.83,186,4.32,126,33.5,10,30.75,8.25,144,2512,30,0,1,0,0,0,0,0,0
2016,1,22,Josh Doctson,0,81,1100,8,34,0,0,1,0,0,0,0,0,1.88,202,4.5,131,41,14,31.875,9.875,214,3177,34,1,0,0,1,0,0,0,1
2016,1,23,Laquon Treadwell,0,65,701,2,53,0,0,1,0,0,0,0,0,1.88,221,4.63,117,33,12,33.375,9.5,202,2393,21,0,0,0,1,0,0,1,0
2016,2,40,Sterling Shepard,0,247,2862,17,53,0,0,0,0,1,0,0,0,1.78,194,4.48,123,41,20,30.375,9.75,233,3482,26,1,1,0,0,0,0,0,0
2016,2,47,Michael Thomas,1,470,5512,32,63,0,0,0,1,0,0,0,0,1.91,212,4.57,126,35,18,32.125,10.5,113,1602,18,0,1,0,0,0,1,1,0
2016,2,55,Tyler Boyd,0,242,2902,15,56,0,0,0,1,0,0,0,0,1.88,197,4.58,119,34,11,32,9.75,254,3361,21,0,0,0,0,0,0,1,0
2016,3,85,Braxton Miller,0,34,261,2,21,0,0,0,1,0,0,0,0,1.85,201,4.5,123,35,17,31.75,9.125,25,340,3,1,1,0,1,0,1,1,0
2016,3,86,Leonte Carroo,0,12,192,2,37,0,0,0,0,0,1,0,0,1.83,211,4.5,120,35.5,14,31.375,9.625,122,2373,29,1,0,0,0,1,0,0,1
